Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C18, C3, C4, C5, C7",0402,7,0.1u,C1525
"C10, C12, C13, C17, C2, C9",0402,6,4.7u,C23733
C14,0402,1,1u,C52923
"C15, C16",0402,2,12p,
C6,0402,1,100p,C1546
D1,0402,1,blue,C131223
D2,0402,1,red,C7420553
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R1, R3",0402,2,5.1k,C25905
R2,0402,1,100k,C25741
"R5, R8",0402,2,51k,C25794
"R6, R7",0402,2,470,C25117
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,nRF52833_QDxx,C2895249 
U2,SOT-23-5,1,MCP73832T-2,C38066
U3,XDCR_BMP390L,1,BMP390L,C779278
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25X40CLUXIG,C401661 
U5,LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,1,LIS2DH,C155670
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C5830663
