Designator,Mid X,Mid Y,Rotation,Layer
C1,62.089411,-54.060589,45.0,top
C10,55.339411,-54.660589,45.0,top
C11,59.25,-46.52,270.0,top
C12,56.089411,-55.410589,45.0,top
C13,57.55,-56.9,135.0,top
C14,55.239411,-49.710589,225.0,top
C15,63.5,-46.27,90.0,top
C16,61.52,-44.25,180.0,top
C17,63.55,-54.02,90.0,top
C18,56.27,-42.75,0.0,top
C2,61.5,-59.77,90.0,top
C3,57.02,-44.0,180.0,top
C4,54.27,-45.75,0.0,top
C5,53.810589,-51.139411,45.0,top
C6,61.4,-48.55,180.0,top
C7,54.160589,-53.339411,45.0,top
C9,59.089411,-56.410589,45.0,top
D1,62.985,-60.25,180.0,top
D2,62.459063,-50.505582,135.0,top
J1,58.32,-65.855,0.0,top
R1,58.740001,-60.5,0.0,top
R2,59.25,-42.75,180.0,top
R3,60.25,-59.740001,270.0,top
R5,59.240001,-43.7,0.0,top
R6,63.009999,-59.25,0.0,top
R7,63.139376,-49.639376,135.0,top
R8,58.889376,-58.610624,225.0,top
U1,58.5,-51.75,135.0,top
U2,62.1375,-56.75,0.0,top
U3,54.2375,-47.5,90.0,top
U4,54.0,-43.075,270.0,top
U5,56.955266,-45.73,90.0,top
Y1,61.5,-46.25,270.0,top
